Word				Count
				297
a				35
ability				1
about				7
above				1
accepts				2
accused				2
accusersmayella				1
act				1
acting				1
actions				1
activity				1
administrator				3
adults				1
advances				1
affection				1
after				5
again				1
agrees				1
alabama				2
alexandra				2
algorithm				4
almost				1
alone				1
alphabet				1
also				1
although				1
am				1
amid				1
an				1
analysis				1
ancestors				1
and				60
angelo				1
another				2
anothers				1
anticipate				1
any				1
appearance				1
appears				1
apply				1
appoints				1
are				8
argues				1
arms				1
arrives				1
arthur				2
as				4
asks				1
assigned				8
assignments				1
at				12
attack				1
attacks				1
atticus				16
atticuss				1
aunt				3
available				1
averted				1
bad				1
badly				1
balcony				1
barrage				1
bayes				1
be				8
bear				1
beat				1
beating				1
because				1
becomes				2
been				1
befriend				1
begin				1
believes				2
best				1
black				3
blackboard				3
bob				3
bock				1
boo				8
boolean				1
boos				1
boy				1
boys				1
bravery				1
bread				1
break				1
breakmar				1
brief				1
broken				1
brother				3
budgeted				1
building				1
bull				1
but				3
by				9
c				4
calculator				1
calendar				3
calling				1
calpurnia				1
carries				1
carrot				1
caruth				4
catch				1
cats				2
caught				1
centroid				2
change				1
changed				1
changes				1
changing				1
characters				1
charging				1
cheng				4
children				7
childrens				1
chpt				14
circumstances				1
citizens				1
class				5
classification				3
classifier				1
clear				1
closeknit				1
cluster				5
clustering				1
clusters				1
cold				1
colored				1
comes				3
common				1
company				1
competent				1
complete				1
complexities				1
compression				1
confusion				1
consider				2
contacted				3
content				1
contents				3
conviction				1
convicts				1
could				1
county				1
courage				1
course				7
covers				1
crawler				3
crawlers				1
crawling				1
credibility				1
criticizes				1
cse				9
d				20
danger				1
dark				1
datetopics				1
day				1
dayproject				1
defend				2
defenseless				1
demands				1
demo				1
demoapr				1
demonstration				1
depending				1
depression				1
despite				2
destroyed				1
destroying				1
dictionary				1
died				1
differences				1
difficult				1
dill				5
disappears				1
disappointment				1
disapprove				1
discover				1
discovers				1
dispersing				1
distance				3
distinct				1
distribution				1
do				5
document				5
documents				1
does				1
dogs				1
door				1
dr				6
draws				1
drunkare				1
dubose				1
due				6
duemar				1
during				4
each				2
education				1
either				1
elevator				1
email				3
engine				1
errors				1
escape				1
establishes				1
ethics				1
evaluation				1
even				2
events				1
eventually				1
every				2
evidence				1
ewell				6
ewells				1
exam				4
example				9
examplefast				1
examplefeb				1
examplejan				1
examplesmar				1
excel				1
expansion				1
explaining				1
expressionsjava				1
extraordinary				1
face				1
faces				1
faith				1
fall				3
family				1
fantasize				1
fascinated				1
father				7
fathers				1
feb				1
february				1
feed				1
feedback				1
fell				1
feminine				1
few				1
fictional				1
fictitious				1
field				1
fight				1
fighting				2
file				1
files				1
finally				1
finch				2
find				2
fists				1
floor				1
flour				1
fmoorelylesmuedu				6
focuses				1
for				16
forcing				1
forming				1
free				1
freeman				9
frequency				1
friendless				1
friendship				1
from				8
front				1
gaining				1
gatmaitan				1
generally				1
genuine				1
gestures				1
get				1
gets				1
gifts				2
girl				1
given				2
goes				2
going				1
goodbye				1
google				1
great				1
group				1
growing				1
guise				1
had				2
halloween				1
han				1
haotian				1
hapless				1
has				5
hates				1
have				4
he				7
heena				1
help				1
her				19
here				3
hesitant				1
hidden				1
hierarchical				1
him				7
himself				1
his				8
hmwk				10
home				3
honor				1
hours				2
hoursmore				1
house				2
housekeeper				1
how				4
html				2
httplylesmuedufmoore				2
httplylesmuedufmooreindexhtm				1
httpolesporterjsdemohtml				1
humiliated				1
i				4
ii				2
ill				1
imagination				1
imagines				1
implementation				1
in				18
inclass				1
include				1
index				1
indexhtm				1
indexing				1
influence				1
information				4
innocence				1
instinctively				1
insults				1
intent				1
into				3
introduction				1
inverse				1
invitation				1
ir				1
is				22
it				5
its				1
jaccard				1
jack				1
jan				1
jason				1
javacrawlerjjava				1
javascript				1
jean				1
jem				17
